@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.1658622
 100.0000000    0.2239477
 200.0000000    0.2216143
 300.0000000    0.2252799
 400.0000000    0.1708046
 500.0000000    0.2193981
 600.0000000    0.1898682
 700.0000000    0.2087727
 800.0000000    0.2007821
 900.0000000    0.1756992
1000.0000000    0.2190044
1100.0000000    0.2418344
1200.0000000    0.1910051
1300.0000000    0.2443582
1400.0000000    0.2506263
1500.0000000    0.2654416
1600.0000000    0.2156582
1700.0000000    0.2496929
1800.0000000    0.2301134
1900.0000000    0.1836112
2000.0000000    0.2421679
2100.0000000    0.1987991
2200.0000000    0.1788635
2300.0000000    0.2086143
2400.0000000    0.2583148
2500.0000000    0.1842599
2600.0000000    0.1987118
2700.0000000    0.2023402
2800.0000000    0.2286292
2900.0000000    0.2358384
3000.0000000    0.2060811
3100.0000000    0.1991472
3200.0000000    0.1832545
3300.0000000    0.1715398
3400.0000000    0.1749346
3500.0000000    0.1598531
3600.0000000    0.1407003
3700.0000000    0.1790965
3800.0000000    0.1873870
3900.0000000    0.1821324
4000.0000000    0.1924016
4100.0000000    0.1322587
4200.0000000    0.1761419
4300.0000000    0.1193506
4400.0000000    0.1495426
4500.0000000    0.1494208
4600.0000000    0.1449086
4700.0000000    0.1672241
4800.0000000    0.1687110
4900.0000000    0.1917687
5000.0000000    0.2321780
5100.0000000    0.1702758
5200.0000000    0.1893806
5300.0000000    0.2078284
5400.0000000    0.2026569
5500.0000000    0.2033443
5600.0000000    0.1238108
5700.0000000    0.1810926
5800.0000000    0.1611922
5900.0000000    0.1398252
6000.0000000    0.1971070
6100.0000000    0.1379728
6200.0000000    0.1811031
6300.0000000    0.2235477
6400.0000000    0.1631312
6500.0000000    0.1877695
6600.0000000    0.1957674
6700.0000000    0.1413758
6800.0000000    0.1641463
6900.0000000    0.1556187
7000.0000000    0.2078952
7100.0000000    0.1521672
7200.0000000    0.1849731
7300.0000000    0.2025595
7400.0000000    0.1896324
7500.0000000    0.1738068
7600.0000000    0.2409076
7700.0000000    0.2079106
7800.0000000    0.1841808
7900.0000000    0.1947589
8000.0000000    0.1542844
8100.0000000    0.1934160
8200.0000000    0.2304679
8300.0000000    0.1744715
8400.0000000    0.1261836
8500.0000000    0.2282187
8600.0000000    0.1671512
8700.0000000    0.2013861
8800.0000000    0.1800001
8900.0000000    0.2188543
9000.0000000    0.2075739
9100.0000000    0.1418063
9200.0000000    0.1519897
9300.0000000    0.1700351
9400.0000000    0.2045224
9500.0000000    0.1973760
9600.0000000    0.1709636
9700.0000000    0.2714569
9800.0000000    0.1921702
9900.0000000    0.2477388
10000.0000000    0.2971865
10100.0000000    0.2210640
10200.0000000    0.2468648
10300.0000000    0.2599776
10400.0000000    0.2046433
10500.0000000    0.1619374
10600.0000000    0.1496194
10700.0000000    0.1709942
10800.0000000    0.1833446
10900.0000000    0.2438378
11000.0000000    0.1838155
11100.0000000    0.1823419
11200.0000000    0.1715921
11300.0000000    0.2099071
11400.0000000    0.1886452
11500.0000000    0.1877175
11600.0000000    0.2114497
11700.0000000    0.2111697
11800.0000000    0.2111406
11900.0000000    0.1843652
12000.0000000    0.2009586
12100.0000000    0.2313808
12200.0000000    0.1860221
12300.0000000    0.1551455
12400.0000000    0.1872202
12500.0000000    0.2236428
12600.0000000    0.2292202
12700.0000000    0.2600093
12800.0000000    0.2065130
12900.0000000    0.1785431
13000.0000000    0.2065546
13100.0000000    0.1582169
13200.0000000    0.1836707
13300.0000000    0.2535649
13400.0000000    0.1964828
13500.0000000    0.2138187
13600.0000000    0.2495663
13700.0000000    0.1882123
13800.0000000    0.2189030
13900.0000000    0.1642307
14000.0000000    0.2114330
14100.0000000    0.1518811
14200.0000000    0.1637124
14300.0000000    0.2387363
14400.0000000    0.1645853
14500.0000000    0.1190001
14600.0000000    0.1585752
14700.0000000    0.1531413
14800.0000000    0.1719955
14900.0000000    0.1986500
15000.0000000    0.1647096
15100.0000000    0.1760791
15200.0000000    0.1917773
15300.0000000    0.1987608
15400.0000000    0.1975023
15500.0000000    0.1731844
15600.0000000    0.2417915
15700.0000000    0.1959030
15800.0000000    0.2110230
15900.0000000    0.1924885
16000.0000000    0.1961512
16100.0000000    0.2447604
16200.0000000    0.1802777
16300.0000000    0.1921224
16400.0000000    0.2195467
16500.0000000    0.1456872
16600.0000000    0.2013465
16700.0000000    0.2069955
16800.0000000    0.2256227
16900.0000000    0.2538070
17000.0000000    0.2569312
17100.0000000    0.2250696
17200.0000000    0.2909431
17300.0000000    0.2227995
17400.0000000    0.2227878
17500.0000000    0.2032089
17600.0000000    0.2070678
17700.0000000    0.2085853
17800.0000000    0.2344010
17900.0000000    0.2531942
18000.0000000    0.2017375
18100.0000000    0.2746674
