@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.1773908
 100.0000000    0.2359533
 200.0000000    0.2070329
 300.0000000    0.1953440
 400.0000000    0.2438524
 500.0000000    0.2274199
 600.0000000    0.2492581
 700.0000000    0.2835467
 800.0000000    0.2090639
 900.0000000    0.2662419
1000.0000000    0.1963976
1100.0000000    0.2802610
1200.0000000    0.2370607
1300.0000000    0.2385236
1400.0000000    0.2614558
1500.0000000    0.2372325
1600.0000000    0.2418942
1700.0000000    0.2226114
1800.0000000    0.2486354
1900.0000000    0.2950855
2000.0000000    0.2402216
2100.0000000    0.3169233
2200.0000000    0.2689836
2300.0000000    0.2630550
2400.0000000    0.1969997
2500.0000000    0.2948858
2600.0000000    0.2279163
2700.0000000    0.2235517
2800.0000000    0.2212196
2900.0000000    0.2677990
3000.0000000    0.2214554
3100.0000000    0.1949474
3200.0000000    0.2082237
3300.0000000    0.2117315
3400.0000000    0.1665722
3500.0000000    0.2083347
3600.0000000    0.2481310
3700.0000000    0.2053340
3800.0000000    0.2699891
3900.0000000    0.2310721
4000.0000000    0.1768001
4100.0000000    0.2272878
4200.0000000    0.2122111
4300.0000000    0.2900443
4400.0000000    0.2182047
4500.0000000    0.1925136
4600.0000000    0.2113632
4700.0000000    0.2093515
4800.0000000    0.2011783
4900.0000000    0.2010829
5000.0000000    0.1913732
5100.0000000    0.1908699
5200.0000000    0.2485613
5300.0000000    0.2008267
5400.0000000    0.2077522
5500.0000000    0.1801363
5600.0000000    0.2068259
5700.0000000    0.2250703
5800.0000000    0.2435894
5900.0000000    0.2140294
6000.0000000    0.1451783
6100.0000000    0.1724669
6200.0000000    0.1816071
6300.0000000    0.1986857
6400.0000000    0.1903454
6500.0000000    0.2610900
6600.0000000    0.2300790
6700.0000000    0.1821953
6800.0000000    0.2068506
6900.0000000    0.2396370
7000.0000000    0.2136202
7100.0000000    0.2332958
7200.0000000    0.2125186
7300.0000000    0.2202120
7400.0000000    0.2032184
7500.0000000    0.2789055
7600.0000000    0.2392470
7700.0000000    0.2386621
7800.0000000    0.2380925
7900.0000000    0.2793642
8000.0000000    0.1945991
8100.0000000    0.2288228
8200.0000000    0.2231730
8300.0000000    0.1795083
8400.0000000    0.2241097
8500.0000000    0.2519369
8600.0000000    0.2100528
8700.0000000    0.2050506
8800.0000000    0.2095917
8900.0000000    0.1915794
9000.0000000    0.1732670
9100.0000000    0.2530233
9200.0000000    0.2011206
9300.0000000    0.1827840
9400.0000000    0.2193878
9500.0000000    0.2015546
9600.0000000    0.2827756
9700.0000000    0.2114197
9800.0000000    0.2465768
9900.0000000    0.2096364
10000.0000000    0.2122208
10100.0000000    0.2594822
10200.0000000    0.2303843
10300.0000000    0.2080977
10400.0000000    0.2144832
10500.0000000    0.2322705
10600.0000000    0.2125714
10700.0000000    0.2064442
10800.0000000    0.2501482
10900.0000000    0.2323378
11000.0000000    0.1938955
11100.0000000    0.2326786
11200.0000000    0.2150501
11300.0000000    0.2056618
11400.0000000    0.1995042
11500.0000000    0.2112735
11600.0000000    0.2328420
11700.0000000    0.2493673
11800.0000000    0.2276604
11900.0000000    0.2251539
12000.0000000    0.2726565
12100.0000000    0.2260692
12200.0000000    0.2479729
12300.0000000    0.2834623
12400.0000000    0.2118914
12500.0000000    0.2122238
12600.0000000    0.2194136
12700.0000000    0.2797514
12800.0000000    0.2166198
12900.0000000    0.3088389
13000.0000000    0.2620814
13100.0000000    0.2686324
13200.0000000    0.2579043
13300.0000000    0.2390811
13400.0000000    0.2545924
13500.0000000    0.2626702
13600.0000000    0.2630359
13700.0000000    0.1861143
13800.0000000    0.2586320
13900.0000000    0.2082896
14000.0000000    0.2366400
14100.0000000    0.2296453
14200.0000000    0.2340017
14300.0000000    0.2011805
14400.0000000    0.2001247
14500.0000000    0.2144380
14600.0000000    0.2988260
14700.0000000    0.2403850
14800.0000000    0.1690876
14900.0000000    0.2474295
15000.0000000    0.2154815
15100.0000000    0.1702907
15200.0000000    0.2640746
15300.0000000    0.2725417
15400.0000000    0.2170433
15500.0000000    0.2672263
15600.0000000    0.2850793
15700.0000000    0.2679825
15800.0000000    0.2610841
15900.0000000    0.2188299
16000.0000000    0.2577636
16100.0000000    0.2513534
16200.0000000    0.2444523
16300.0000000    0.2401170
16400.0000000    0.2668290
16500.0000000    0.2091400
16600.0000000    0.2879646
16700.0000000    0.2606943
16800.0000000    0.2630081
16900.0000000    0.2462452
17000.0000000    0.2221492
17100.0000000    0.2719440
17200.0000000    0.2188052
17300.0000000    0.2484570
17400.0000000    0.2312729
17500.0000000    0.1964598
17600.0000000    0.2785131
17700.0000000    0.2704343
17800.0000000    0.2534432
17900.0000000    0.2431436
18000.0000000    0.3173679
18100.0000000    0.2523104
