@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0461151
 100.0000000    0.1638228
 200.0000000    0.2225041
 300.0000000    0.2813727
 400.0000000    0.2229221
 500.0000000    0.2046975
 600.0000000    0.1905711
 700.0000000    0.1906465
 800.0000000    0.2290002
 900.0000000    0.2243991
1000.0000000    0.2780013
1100.0000000    0.2136646
1200.0000000    0.2068422
1300.0000000    0.2697113
1400.0000000    0.2124941
1500.0000000    0.1821389
1600.0000000    0.1749553
1700.0000000    0.1819764
1800.0000000    0.2243763
1900.0000000    0.2174422
2000.0000000    0.2261671
2100.0000000    0.2257500
2200.0000000    0.1917259
2300.0000000    0.2472930
2400.0000000    0.3352951
2500.0000000    0.2293319
2600.0000000    0.2482897
2700.0000000    0.2233939
2800.0000000    0.1897583
2900.0000000    0.1866267
3000.0000000    0.2187990
3100.0000000    0.2439872
3200.0000000    0.2761042
3300.0000000    0.2125609
3400.0000000    0.2154355
3500.0000000    0.1379589
3600.0000000    0.2588075
3700.0000000    0.2470320
3800.0000000    0.2121955
3900.0000000    0.1831812
4000.0000000    0.1701805
4100.0000000    0.1598087
4200.0000000    0.2103130
4300.0000000    0.1739312
4400.0000000    0.1879826
4500.0000000    0.2042224
4600.0000000    0.1902843
4700.0000000    0.1972207
4800.0000000    0.1714998
4900.0000000    0.1717584
5000.0000000    0.1767987
5100.0000000    0.2050329
5200.0000000    0.1674012
5300.0000000    0.1654995
5400.0000000    0.2301012
5500.0000000    0.2508445
5600.0000000    0.2157687
5700.0000000    0.2006235
5800.0000000    0.1800087
5900.0000000    0.1980896
6000.0000000    0.1970802
6100.0000000    0.2271066
6200.0000000    0.1718758
6300.0000000    0.2005789
6400.0000000    0.2078156
6500.0000000    0.2421903
6600.0000000    0.2874772
6700.0000000    0.2187988
6800.0000000    0.1835247
6900.0000000    0.2225398
7000.0000000    0.1666622
7100.0000000    0.2483734
7200.0000000    0.3058491
7300.0000000    0.2550227
7400.0000000    0.2006238
7500.0000000    0.2049766
7600.0000000    0.1795899
7700.0000000    0.2309624
7800.0000000    0.2114930
7900.0000000    0.2076219
8000.0000000    0.2107969
8100.0000000    0.2579591
8200.0000000    0.2326468
8300.0000000    0.2137162
8400.0000000    0.1733875
8500.0000000    0.2170208
8600.0000000    0.2328288
8700.0000000    0.2043017
8800.0000000    0.2011651
8900.0000000    0.2523471
9000.0000000    0.2580654
9100.0000000    0.2643255
9200.0000000    0.2165717
9300.0000000    0.1743835
9400.0000000    0.2025819
9500.0000000    0.1856667
9600.0000000    0.2104236
9700.0000000    0.2385457
9800.0000000    0.2354687
9900.0000000    0.2454373
10000.0000000    0.2186706
10100.0000000    0.2255503
10200.0000000    0.2483862
10300.0000000    0.2546789
10400.0000000    0.1934853
10500.0000000    0.1652143
10600.0000000    0.2455911
10700.0000000    0.2082930
10800.0000000    0.1665839
10900.0000000    0.2056193
11000.0000000    0.2593888
11100.0000000    0.2862346
11200.0000000    0.3231946
11300.0000000    0.2304268
11400.0000000    0.2106270
11500.0000000    0.2119719
11600.0000000    0.2294602
11700.0000000    0.2772471
11800.0000000    0.2492005
11900.0000000    0.2930906
12000.0000000    0.2725101
12100.0000000    0.2115460
12200.0000000    0.2086619
12300.0000000    0.2413375
12400.0000000    0.1638379
12500.0000000    0.1907438
12600.0000000    0.1931440
12700.0000000    0.2276644
12800.0000000    0.2287527
12900.0000000    0.1903793
13000.0000000    0.2519854
13100.0000000    0.2484432
13200.0000000    0.1900840
13300.0000000    0.2209259
13400.0000000    0.2143366
13500.0000000    0.2028141
13600.0000000    0.2075725
13700.0000000    0.2056755
13800.0000000    0.2372845
13900.0000000    0.2745727
14000.0000000    0.2532413
14100.0000000    0.2499697
14200.0000000    0.2066877
14300.0000000    0.2353126
14400.0000000    0.2499945
14500.0000000    0.2258101
14600.0000000    0.2198526
14700.0000000    0.2410455
14800.0000000    0.2471507
14900.0000000    0.2797401
15000.0000000    0.2278804
15100.0000000    0.2478381
15200.0000000    0.2589338
15300.0000000    0.2425955
15400.0000000    0.1928556
15500.0000000    0.2169937
15600.0000000    0.2181781
15700.0000000    0.2570569
15800.0000000    0.2261291
15900.0000000    0.2307293
16000.0000000    0.2220393
16100.0000000    0.2210462
16200.0000000    0.2584202
16300.0000000    0.2065376
16400.0000000    0.2345530
16500.0000000    0.1499963
16600.0000000    0.2267210
16700.0000000    0.2151301
16800.0000000    0.2191756
16900.0000000    0.2813797
17000.0000000    0.2421747
17100.0000000    0.2130760
17200.0000000    0.1764192
17300.0000000    0.1887450
17400.0000000    0.2337066
17500.0000000    0.2768825
17600.0000000    0.1887162
17700.0000000    0.2453502
17800.0000000    0.2155061
17900.0000000    0.2591974
18000.0000000    0.1933456
18100.0000000    0.2414611
