@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0471008
 100.0000000    0.2145343
 200.0000000    0.2241359
 300.0000000    0.1945395
 400.0000000    0.2066728
 500.0000000    0.2678060
 600.0000000    0.2182473
 700.0000000    0.1769805
 800.0000000    0.2061076
 900.0000000    0.2452188
1000.0000000    0.1552461
1100.0000000    0.1581621
1200.0000000    0.1780159
1300.0000000    0.2115497
1400.0000000    0.2414738
1500.0000000    0.2859658
1600.0000000    0.2846199
1700.0000000    0.2596568
1800.0000000    0.2237196
1900.0000000    0.2483892
2000.0000000    0.1959425
2100.0000000    0.2732840
2200.0000000    0.2308465
2300.0000000    0.2864945
2400.0000000    0.2403448
2500.0000000    0.2277116
2600.0000000    0.2410228
2700.0000000    0.2276346
2800.0000000    0.2341355
2900.0000000    0.2095401
3000.0000000    0.2364572
3100.0000000    0.2592294
3200.0000000    0.1721714
3300.0000000    0.1892543
3400.0000000    0.2580061
3500.0000000    0.2661862
3600.0000000    0.2322870
3700.0000000    0.1983867
3800.0000000    0.2489828
3900.0000000    0.1967894
4000.0000000    0.1344030
4100.0000000    0.1447916
4200.0000000    0.1531068
4300.0000000    0.2008980
4400.0000000    0.2022882
4500.0000000    0.2646977
4600.0000000    0.2029394
4700.0000000    0.2647023
4800.0000000    0.2060961
4900.0000000    0.2060185
5000.0000000    0.2207829
5100.0000000    0.2257345
5200.0000000    0.2469508
5300.0000000    0.1810380
5400.0000000    0.2342996
5500.0000000    0.1984410
5600.0000000    0.2239339
5700.0000000    0.2348746
5800.0000000    0.2067799
5900.0000000    0.2479526
6000.0000000    0.1989244
6100.0000000    0.2241735
6200.0000000    0.2984038
6300.0000000    0.2311351
6400.0000000    0.2610559
6500.0000000    0.3003182
6600.0000000    0.1948429
6700.0000000    0.3061961
6800.0000000    0.2455129
6900.0000000    0.2671149
7000.0000000    0.2256114
7100.0000000    0.1751771
7200.0000000    0.2572392
7300.0000000    0.1791131
7400.0000000    0.2508831
7500.0000000    0.2478725
7600.0000000    0.2903135
7700.0000000    0.2859571
7800.0000000    0.2716393
7900.0000000    0.2817812
8000.0000000    0.2713044
8100.0000000    0.2385184
8200.0000000    0.2173385
8300.0000000    0.2820019
8400.0000000    0.2351958
8500.0000000    0.2822221
8600.0000000    0.2429155
8700.0000000    0.2617290
8800.0000000    0.2530434
8900.0000000    0.2698661
9000.0000000    0.2712731
9100.0000000    0.2997840
9200.0000000    0.2079145
9300.0000000    0.2753599
9400.0000000    0.2380007
9500.0000000    0.2433421
9600.0000000    0.2616574
9700.0000000    0.2193111
9800.0000000    0.2704676
9900.0000000    0.2493882
10000.0000000    0.2780576
10100.0000000    0.2697686
10200.0000000    0.2705339
10300.0000000    0.2729458
10400.0000000    0.2545657
10500.0000000    0.1917851
10600.0000000    0.2657474
10700.0000000    0.2937233
10800.0000000    0.3138240
10900.0000000    0.3375861
11000.0000000    0.2237803
11100.0000000    0.2687223
11200.0000000    0.2984652
11300.0000000    0.3184658
11400.0000000    0.2948902
11500.0000000    0.2544499
11600.0000000    0.2525876
11700.0000000    0.2705448
11800.0000000    0.3071035
11900.0000000    0.2494899
12000.0000000    0.2784023
12100.0000000    0.3017618
12200.0000000    0.2130421
12300.0000000    0.2699062
12400.0000000    0.2417059
12500.0000000    0.2443829
12600.0000000    0.2275371
12700.0000000    0.1974641
12800.0000000    0.2454939
12900.0000000    0.2545585
13000.0000000    0.2330805
13100.0000000    0.2470089
13200.0000000    0.2247880
13300.0000000    0.2532075
13400.0000000    0.2575719
13500.0000000    0.2498494
13600.0000000    0.3007747
13700.0000000    0.2692660
13800.0000000    0.2406399
13900.0000000    0.2194605
14000.0000000    0.2215965
14100.0000000    0.2394711
14200.0000000    0.1843583
14300.0000000    0.2148436
14400.0000000    0.2687478
14500.0000000    0.2373109
14600.0000000    0.2224506
14700.0000000    0.1606504
14800.0000000    0.2085650
14900.0000000    0.1988689
15000.0000000    0.1966092
15100.0000000    0.2187115
15200.0000000    0.1912314
15300.0000000    0.2300857
15400.0000000    0.1693126
15500.0000000    0.1519373
15600.0000000    0.1630983
15700.0000000    0.2312846
15800.0000000    0.2335397
15900.0000000    0.2822324
16000.0000000    0.2706700
16100.0000000    0.2501840
16200.0000000    0.2764030
16300.0000000    0.2633099
16400.0000000    0.3218650
16500.0000000    0.2818626
16600.0000000    0.3138203
16700.0000000    0.2438020
16800.0000000    0.2748307
16900.0000000    0.2220141
17000.0000000    0.2429512
17100.0000000    0.2142770
17200.0000000    0.2461058
17300.0000000    0.2492433
17400.0000000    0.2288795
17500.0000000    0.2137556
17600.0000000    0.2251312
17700.0000000    0.2138244
17800.0000000    0.2262334
17900.0000000    0.2557963
18000.0000000    0.2498243
18100.0000000    0.2190582
