@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0376725
 100.0000000    0.1323128
 200.0000000    0.1466558
 300.0000000    0.1845380
 400.0000000    0.1573214
 500.0000000    0.1858572
 600.0000000    0.1877193
 700.0000000    0.1794328
 800.0000000    0.2629673
 900.0000000    0.2256496
1000.0000000    0.2032180
1100.0000000    0.2803770
1200.0000000    0.2108153
1300.0000000    0.2274177
1400.0000000    0.2441201
1500.0000000    0.2361993
1600.0000000    0.2292825
1700.0000000    0.2454481
1800.0000000    0.2098540
1900.0000000    0.1966077
2000.0000000    0.2059965
2100.0000000    0.2050931
2200.0000000    0.2170646
2300.0000000    0.2274892
2400.0000000    0.2919354
2500.0000000    0.2456619
2600.0000000    0.2797842
2700.0000000    0.2648751
2800.0000000    0.2026402
2900.0000000    0.1969657
3000.0000000    0.2405957
3100.0000000    0.2383603
3200.0000000    0.2594767
3300.0000000    0.2539634
3400.0000000    0.2351942
3500.0000000    0.2862399
3600.0000000    0.2414652
3700.0000000    0.2216324
3800.0000000    0.1983266
3900.0000000    0.2222030
4000.0000000    0.1754184
4100.0000000    0.1944140
4200.0000000    0.2168122
4300.0000000    0.1921503
4400.0000000    0.2241533
4500.0000000    0.2003918
4600.0000000    0.2569246
4700.0000000    0.2045066
4800.0000000    0.2132753
4900.0000000    0.1904204
5000.0000000    0.2022658
5100.0000000    0.2125857
5200.0000000    0.1817865
5300.0000000    0.2168351
5400.0000000    0.1923947
5500.0000000    0.1616731
5600.0000000    0.2149010
5700.0000000    0.2352832
5800.0000000    0.2541993
5900.0000000    0.2183998
6000.0000000    0.1903849
6100.0000000    0.2152661
6200.0000000    0.1777564
6300.0000000    0.1605631
6400.0000000    0.1662536
6500.0000000    0.1929107
6600.0000000    0.1728123
6700.0000000    0.1911139
6800.0000000    0.1672250
6900.0000000    0.1449112
7000.0000000    0.1671648
7100.0000000    0.1881414
7200.0000000    0.1584322
7300.0000000    0.1583149
7400.0000000    0.1614189
7500.0000000    0.2082826
7600.0000000    0.1458010
7700.0000000    0.1580203
7800.0000000    0.1875206
7900.0000000    0.1582144
8000.0000000    0.1910864
8100.0000000    0.1917238
8200.0000000    0.1896094
8300.0000000    0.1579476
8400.0000000    0.1264023
8500.0000000    0.1810316
8600.0000000    0.1538737
8700.0000000    0.1923070
8800.0000000    0.2135604
8900.0000000    0.2213158
9000.0000000    0.2077300
9100.0000000    0.1573739
9200.0000000    0.1893407
9300.0000000    0.2642560
9400.0000000    0.1934229
9500.0000000    0.2160370
9600.0000000    0.2496831
9700.0000000    0.2454243
9800.0000000    0.2311014
9900.0000000    0.2488130
10000.0000000    0.2475798
10100.0000000    0.1747088
10200.0000000    0.1831393
10300.0000000    0.2013253
10400.0000000    0.1874413
10500.0000000    0.2185629
10600.0000000    0.2216447
10700.0000000    0.2187781
10800.0000000    0.2112030
10900.0000000    0.2050616
11000.0000000    0.2020091
11100.0000000    0.1755900
11200.0000000    0.1910087
11300.0000000    0.1652767
11400.0000000    0.1700492
11500.0000000    0.1968040
11600.0000000    0.2118401
11700.0000000    0.1873531
11800.0000000    0.2320989
11900.0000000    0.1943403
12000.0000000    0.1721088
12100.0000000    0.2105874
12200.0000000    0.2061582
12300.0000000    0.1586103
12400.0000000    0.1809798
12500.0000000    0.2022089
12600.0000000    0.1878630
12700.0000000    0.2163370
12800.0000000    0.2552858
12900.0000000    0.1829409
13000.0000000    0.1912742
13100.0000000    0.2092012
13200.0000000    0.1824184
13300.0000000    0.2638191
13400.0000000    0.2227183
13500.0000000    0.2034396
13600.0000000    0.1943920
13700.0000000    0.2276351
13800.0000000    0.1671133
13900.0000000    0.2479422
14000.0000000    0.1971699
14100.0000000    0.2045329
14200.0000000    0.2352707
14300.0000000    0.2310073
14400.0000000    0.2669347
14500.0000000    0.2433947
14600.0000000    0.2130397
14700.0000000    0.1996521
14800.0000000    0.2048317
14900.0000000    0.2680984
15000.0000000    0.1939724
15100.0000000    0.2102516
15200.0000000    0.1980147
15300.0000000    0.2602643
15400.0000000    0.2549262
15500.0000000    0.2130658
15600.0000000    0.2112566
15700.0000000    0.2263941
15800.0000000    0.2217423
15900.0000000    0.2744718
16000.0000000    0.2541420
16100.0000000    0.2580099
16200.0000000    0.1838224
16300.0000000    0.2219515
16400.0000000    0.1895079
16500.0000000    0.2370308
16600.0000000    0.2484585
16700.0000000    0.1938870
16800.0000000    0.2033687
16900.0000000    0.2083791
17000.0000000    0.2342027
17100.0000000    0.1704363
17200.0000000    0.1720348
17300.0000000    0.1782165
17400.0000000    0.1751914
17500.0000000    0.2130109
17600.0000000    0.1833509
17700.0000000    0.2563626
17800.0000000    0.2233310
17900.0000000    0.2208900
18000.0000000    0.2200092
18100.0000000    0.2043814
