@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.2425202
 100.0000000    0.1869412
 200.0000000    0.2116726
 300.0000000    0.2077296
 400.0000000    0.2029197
 500.0000000    0.1740190
 600.0000000    0.1955961
 700.0000000    0.1601326
 800.0000000    0.1541635
 900.0000000    0.1929058
1000.0000000    0.1854417
1100.0000000    0.1810595
1200.0000000    0.1989246
1300.0000000    0.2178300
1400.0000000    0.2172071
1500.0000000    0.1668861
1600.0000000    0.2384499
1700.0000000    0.2103187
1800.0000000    0.1840467
1900.0000000    0.1716667
2000.0000000    0.1791494
2100.0000000    0.1893846
2200.0000000    0.2189010
2300.0000000    0.2096762
2400.0000000    0.2806471
2500.0000000    0.1959959
2600.0000000    0.1832576
2700.0000000    0.1696029
2800.0000000    0.1690125
2900.0000000    0.2147397
3000.0000000    0.1316204
3100.0000000    0.1883607
3200.0000000    0.1823912
3300.0000000    0.2451112
3400.0000000    0.1967500
3500.0000000    0.2200482
3600.0000000    0.1834129
3700.0000000    0.2482868
3800.0000000    0.1713762
3900.0000000    0.2733950
4000.0000000    0.2202577
4100.0000000    0.2301551
4200.0000000    0.1356730
4300.0000000    0.2102434
4400.0000000    0.2204174
4500.0000000    0.1909054
4600.0000000    0.2123341
4700.0000000    0.2548521
4800.0000000    0.2108101
4900.0000000    0.2030341
5000.0000000    0.1618989
5100.0000000    0.1677501
5200.0000000    0.1608492
5300.0000000    0.1745743
5400.0000000    0.1761130
5500.0000000    0.1935540
5600.0000000    0.1935306
5700.0000000    0.1915801
5800.0000000    0.1621837
5900.0000000    0.2280731
6000.0000000    0.1990019
6100.0000000    0.2066180
6200.0000000    0.2380537
6300.0000000    0.1834345
6400.0000000    0.1910926
6500.0000000    0.1781780
6600.0000000    0.2043722
6700.0000000    0.2239556
6800.0000000    0.2686279
6900.0000000    0.2185092
7000.0000000    0.2147691
7100.0000000    0.2251810
7200.0000000    0.1643094
7300.0000000    0.1790000
7400.0000000    0.1947072
7500.0000000    0.1729425
7600.0000000    0.1937847
7700.0000000    0.2079329
7800.0000000    0.1682867
7900.0000000    0.2056503
8000.0000000    0.2193638
8100.0000000    0.2126181
8200.0000000    0.2270215
8300.0000000    0.2478603
8400.0000000    0.2520978
8500.0000000    0.2796750
8600.0000000    0.2030288
8700.0000000    0.2068101
8800.0000000    0.2072835
8900.0000000    0.2039673
9000.0000000    0.2022690
9100.0000000    0.2033680
9200.0000000    0.1799069
9300.0000000    0.2263343
9400.0000000    0.2051346
9500.0000000    0.1824557
9600.0000000    0.2206005
9700.0000000    0.2107649
9800.0000000    0.1765639
9900.0000000    0.2110235
10000.0000000    0.1513604
10100.0000000    0.1885639
10200.0000000    0.2104042
10300.0000000    0.1775822
10400.0000000    0.1725862
10500.0000000    0.2000808
10600.0000000    0.1689789
10700.0000000    0.1598684
10800.0000000    0.2388345
10900.0000000    0.1619154
11000.0000000    0.1554023
11100.0000000    0.1807459
11200.0000000    0.1826578
11300.0000000    0.2275110
11400.0000000    0.2207878
11500.0000000    0.2431289
11600.0000000    0.1843437
11700.0000000    0.2368588
11800.0000000    0.2406052
11900.0000000    0.2154184
12000.0000000    0.1766417
12100.0000000    0.2166604
12200.0000000    0.1603512
12300.0000000    0.1947225
12400.0000000    0.2296136
12500.0000000    0.2033409
12600.0000000    0.1524598
12700.0000000    0.1837699
12800.0000000    0.1656945
12900.0000000    0.2075488
13000.0000000    0.2056843
13100.0000000    0.1951048
13200.0000000    0.2297801
13300.0000000    0.2189634
13400.0000000    0.1698187
13500.0000000    0.2277237
13600.0000000    0.1597276
13700.0000000    0.1558513
13800.0000000    0.1897714
13900.0000000    0.2350969
14000.0000000    0.2319918
14100.0000000    0.2380377
14200.0000000    0.1998920
14300.0000000    0.2273879
14400.0000000    0.2063744
14500.0000000    0.1937919
14600.0000000    0.1925623
14700.0000000    0.1916025
14800.0000000    0.1927553
14900.0000000    0.1748322
15000.0000000    0.1676990
15100.0000000    0.2056303
15200.0000000    0.1897383
15300.0000000    0.2089209
15400.0000000    0.2267910
15500.0000000    0.2523363
15600.0000000    0.1984545
15700.0000000    0.1875549
15800.0000000    0.2290968
15900.0000000    0.1975330
16000.0000000    0.1821051
16100.0000000    0.2462846
16200.0000000    0.2107786
16300.0000000    0.2090864
16400.0000000    0.2223608
16500.0000000    0.1673428
16600.0000000    0.1694750
16700.0000000    0.2324863
16800.0000000    0.2210281
16900.0000000    0.2410865
17000.0000000    0.2058661
17100.0000000    0.1660660
17200.0000000    0.1448077
17300.0000000    0.1657613
17400.0000000    0.1735343
17500.0000000    0.2094595
17600.0000000    0.2001134
17700.0000000    0.1897425
17800.0000000    0.1787839
17900.0000000    0.1722287
18000.0000000    0.1762577
18100.0000000    0.1805734
